iteration,dataset,algorithm,support,time,memory
3,Retail,My Eclat,0.6,0.2845618724822998,9.00390625
3,Retail,My Eclat,0.7,0.29140329360961914,8.953125
3,Retail,My Eclat,0.8,0.28461241722106934,8.8046875
3,Retail,My Eclat,0.9,0.2863645553588867,8.9375
3,Retail,My Postdiffset,0.1,0.30869150161743164,9.046875
3,Retail,My Postdiffset,0.2,0.28777313232421875,11.03515625
3,Retail,My Postdiffset,0.3,0.28682470321655273,8.89453125
3,Retail,My Postdiffset,0.4,0.290327787399292,8.85546875
3,Retail,My Postdiffset,0.5,0.28572702407836914,8.94140625
3,Retail,My Postdiffset,0.6,0.2858426570892334,9.02734375
3,Retail,My Postdiffset,0.7,0.28420305252075195,9.00390625
3,Retail,My Postdiffset,0.8,0.2833738327026367,8.8203125
3,Retail,My Postdiffset,0.9,0.28824925422668457,8.86328125
3,Retail,My Adv. Eclat,0.1,0.27382850646972656,150.71875
3,Retail,My Adv. Eclat,0.2,0.23427367210388184,0.43359375
3,Retail,My Adv. Eclat,0.3,0.236891508102417,0.23828125
3,Retail,My Adv. Eclat,0.4,0.23485231399536133,0.6953125
3,Retail,My Adv. Eclat,0.5,0.2384490966796875,0.09765625
3,Retail,My Adv. Eclat,0.6,0.2353832721710205,0.08203125
3,Retail,My Adv. Eclat,0.7,0.23842453956604004,0.07421875
3,Retail,My Adv. Eclat,0.8,0.236253023147583,0.09765625
3,Retail,My Adv. Eclat,0.9,0.2332906723022461,0.08203125
3,Retail,FIM Apriori,0.1,0.07697629928588867,1.765625
3,Retail,FIM Apriori,0.2,0.07869100570678711,0.2578125
3,Retail,FIM Apriori,0.3,0.07641482353210449,0.0234375
3,Retail,FIM Apriori,0.4,0.07559800148010254,0.0234375
3,Retail,FIM Apriori,0.5,0.07509851455688477,0.03125
3,Retail,FIM Apriori,0.6,0.07315659523010254,0.0234375
3,Retail,FIM Apriori,0.7,0.07353782653808594,0.05859375
3,Retail,FIM Apriori,0.8,0.07282853126525879,0.0234375
3,Retail,FIM Apriori,0.9,0.07238245010375977,0.0234375
3,Retail,FIM Eclat,0.1,0.0767979621887207,0.0234375
3,Retail,FIM Eclat,0.2,0.07621192932128906,0.03125
3,Retail,FIM Eclat,0.3,0.07476925849914551,0.02734375
3,Retail,FIM Eclat,0.4,0.07543230056762695,0.0234375
3,Retail,FIM Eclat,0.5,0.07422327995300293,0.0234375
3,Retail,FIM Eclat,0.6,0.07248306274414062,0.0234375
3,Retail,FIM Eclat,0.7,0.07280111312866211,0.0234375
3,Retail,FIM Eclat,0.8,0.07396721839904785,0.0234375
3,Retail,FIM Eclat,0.9,0.07443094253540039,0.0234375
3,Kosarak,My Eclat,0.1,2.9135172367095947,422.30078125
